"Date end",Size,"Clan tag","Clan name","Clan stars","Clan destruction","Opponent tag","Opponent name","Opponent stars","Opponent destruction",Result
"2024-08-18 19:18:14",20,#JPRPRVUY,"Akademia CoC PL",57,96.15,#2G09PR9QG,"Base Detonator",59,99.75,lose
"2024-08-16 19:44:38",20,#JPRPRVUY,"Akademia CoC PL",58,97.85,#2R2QVY8Q0,"Discord Family",59,97.7,lose
"2024-08-14 19:50:47",25,#JPRPRVUY,"Akademia CoC PL",68,96.2,#2LP0VCLUJ,"BASTE CLAN",66,91,win
"2024-08-12 20:02:52",25,#JPRPRVUY,"Akademia CoC PL",64,90.2,#2GGUQG2UQ,ASARLIK,72,98.84,lose
"2024-08-01 19:12:11",20,#JPRPRVUY,"Akademia CoC PL",58,99.2,#2Q9PQ8GRG,"نسور العرب",38,76.7,win
"2024-07-28 19:25:19",15,#JPRPRVUY,"Akademia CoC PL",41,94.73,#2QJL9PCYY,LovelyJubbly,43,98.4,lose
"2024-07-24 19:31:26",15,#JPRPRVUY,"Akademia CoC PL",43,99.13,#2RGQL888L,كـــلاش❤️عــدن,36,94.13,win
"2024-07-22 19:40:09",15,#JPRPRVUY,"Akademia CoC PL",40,93.13,#2G2LG08UG,"جزیره ای ارواح",29,65.47,win
"2024-07-20 18:31:39",20,#JPRPRVUY,"Akademia CoC PL",56,95.15,#2QV8UPLLQ,SUPRIMIDORES,55,94.5,win
"2024-07-18 18:05:32",20,#JPRPRVUY,"Akademia CoC PL",49,88,#2QGJJ00YL,ENERJİ,59,99.1,lose
"2024-07-16 18:31:27",10,#JPRPRVUY,"Akademia CoC PL",28,99.6,#2GQR8CYUC,"Popp3landia ITA",29,99.4,lose
"2024-07-12 19:50:04",20,#JPRPRVUY,"Akademia CoC PL",53,94.6,#2R00G02Q9,"SON SAVAŞÇI",55,96.05,lose
"2024-06-28 19:46:40",20,#JPRPRVUY,"Akademia CoC PL",56,97.1,#YCYCLGYJ,بامعرفتا021,50,93.55,win
"2024-06-26 05:35:07",20,#JPRPRVUY,"Akademia CoC PL",60,100,#2GQLCJP8J,"INDIAN CLASHERS",57,96.25,win
"2024-06-23 20:31:34",20,#JPRPRVUY,"Akademia CoC PL",60,100,#2G90VU9JL,ایران,49,87.9,win
"2024-06-19 03:37:55",20,#JPRPRVUY,"Akademia CoC PL",58,99.35,#2GC90JQPY,"7 UP",55,93.7,win
"2024-05-31 19:12:38",20,#JPRPRVUY,"Akademia CoC PL",57,96.6,#2GVVQQV9Q,"✨نجمة ✨",55,91.25,win
"2024-05-29 19:24:24",20,#JPRPRVUY,"Akademia CoC PL",51,93.85,#YUVQGP8R,"THE NORTH WIND",54,92.75,lose
"2024-05-27 19:57:53",25,#JPRPRVUY,"Akademia CoC PL",65,92.72,#2GPY0CLP8,laatzen,72,98.08,lose
"2024-05-21 21:21:20",25,#JPRPRVUY,"Akademia CoC PL",69,94.92,#QUUYYYQV,"adultes cool:)",75,100,lose
"2024-05-19 20:37:29",20,#JPRPRVUY,"Akademia CoC PL",56,96.4,#28VQG0U9,Lads,43,76.85,win
"2024-05-17 20:32:01",20,#JPRPRVUY,"Akademia CoC PL",51,89.5,#28VLLL9JR,"قصه از عشق بگو",55,96.2,lose
"2024-05-15 20:07:18",20,#JPRPRVUY,"Akademia CoC PL",57,98.55,#9288RRY9,"أصدقاء سوريا",22,43.75,win
"2024-05-13 19:14:18",25,#JPRPRVUY,"Akademia CoC PL",62,90.6,#2P0PJU2J0,"American Way",14,21.44,win
"2024-04-26 20:28:36",25,#JPRPRVUY,"Akademia CoC PL",57,84.64,#2Q990G0CJ,"5 Pound Deadlif",72,97.08,lose
"2024-04-24 20:10:48",15,#JPRPRVUY,"Akademia CoC PL",41,94.27,#V0YUPGGU,wanted,35,91.73,win
"2024-04-22 19:44:13",20,#JPRPRVUY,"Akademia CoC PL",53,95.05,#CV2VPQQ8,"phantom regime",55,92.45,lose
"2024-04-20 19:51:13",15,#JPRPRVUY,"Akademia CoC PL",34,85.13,#2Y9RPLUYY,Adventure,36,91.4,lose
"2024-04-18 20:08:48",10,#JPRPRVUY,"Akademia CoC PL",27,96.1,#2Y8YJY0VQ,/////,20,69.8,win
"2024-04-16 18:46:09",10,#JPRPRVUY,"Akademia CoC PL",26,93.6,#YLQQ0C9L,"ZOOLOO NATION",28,97.6,lose
"2024-03-31 20:45:31",10,#JPRPRVUY,"Akademia CoC PL",25,86.3,#9RC2PUJ8,"Dragon Skull",20,74.4,win
"2024-03-18 22:13:20",10,#JPRPRVUY,"Akademia CoC PL",20,82.8,#2YU892YLL,"Os implacáveis",25,85.2,lose
"2024-03-14 22:49:41",15,#JPRPRVUY,"Akademia CoC PL",28,73.13,#2YVYUJ09V,Eagle,41,96.4,lose
"2024-02-29 00:16:01",10,#JPRPRVUY,"Akademia CoC PL",15,55,#2QGYV0RUR,Leori,0,0,win
"2024-02-25 23:23:07",10,#JPRPRVUY,"Akademia CoC PL",15,69.1,#2GGPL80VC,ANITAMAXWYNN,28,95.4,lose
"2024-02-23 20:45:39",5,#JPRPRVUY,"Akademia CoC PL",11,81.2,#2LUGGR8RV,"أبطال سوريا",0,0,win
"2024-01-24 22:10:55",10,#JPRPRVUY,"Akademia CoC PL",12,50.9,#2P0VL2GV2,"Repos mérité",29,99.9,lose
"2024-01-17 22:27:56",10,#JPRPRVUY,"Akademia CoC PL",23,91.9,#V9J9QR0Q,"النسر الذهبي",24,92.2,lose
"2024-01-13 11:03:19",15,#JPRPRVUY,"Akademia CoC PL",25,59.13,#2PL8QQ9L9,클랜룸펜,14,30.6,win
"2023-12-17 20:24:36",15,#JPRPRVUY,"Akademia CoC PL",29,63.4,#2YVG8CVJY,"iran turklari",39,93.53,lose
"2023-12-15 20:59:12",10,#JPRPRVUY,"Akademia CoC PL",22,81.3,#2L0JJ80L0,"Black Wolf",27,88.5,lose
"2023-12-01 21:09:16",10,#JPRPRVUY,"Akademia CoC PL",21,76.7,#L22LVJRC,#Endlos,16,62.4,win
"2023-11-20 20:59:14",5,#JPRPRVUY,"Akademia CoC PL",8,59.8,#8QLJ82G2,"#Romania Unita",11,89.2,lose
"2023-11-15 21:11:31",10,#JPRPRVUY,"Akademia CoC PL",26,92.2,#2LR08PQUV,"RELENTLESS AUS",7,28.4,win
"2023-10-31 20:57:19",5,#JPRPRVUY,"Akademia CoC PL",13,84.6,#2GQJPYJ8P,Abdi,0,0,win
"2023-10-19 20:53:41",10,#JPRPRVUY,"Akademia CoC PL",22,77.5,#2Q9YYYQ92,"Sith Hunters",29,97.6,lose
"2023-10-16 20:25:45",10,#JPRPRVUY,"Akademia CoC PL",24,88.3,#YPJCCRY9,Algérie,28,96.4,lose
"2023-09-19 20:01:51",10,#JPRPRVUY,"Akademia CoC PL",26,91.5,#2G0JRYLVY,"All Out",23,82.6,win
"2023-08-26 20:57:08",5,#JPRPRVUY,"Akademia CoC PL",11,86.4,#2YCYYJU0J,"King clan",9,60,win
"2023-08-24 20:46:06",10,#JPRPRVUY,"Akademia CoC PL",24,82.6,#PV8UJP9Q,"ملوك الحرب",20,78.2,win
"2023-08-22 20:31:48",10,#JPRPRVUY,"Akademia CoC PL",20,76.7,#PG8GYVLV,"the best",23,93.1,lose
"2023-08-20 19:24:15",10,#JPRPRVUY,"Akademia CoC PL",19,68.2,#2Q2P8R2JG,mafia,26,91.1,lose
"2023-08-18 19:14:23",5,#JPRPRVUY,"Akademia CoC PL",8,65.4,#2PC9PRP8P,"توقف ممنوع",11,77.6,lose
"2023-08-16 19:22:19",5,#JPRPRVUY,"Akademia CoC PL",8,69.2,#GVVQJCU0,"توپچی های قزوین",12,84.6,lose
"2023-08-13 22:35:42",15,#JPRPRVUY,"Akademia CoC PL",35,84.6,#2PPR9RPUR,"renegados RGP",44,98.93,lose
"2023-07-26 19:42:18",15,#JPRPRVUY,"Akademia CoC PL",41,92.4,#CP8CQLUV,"ITI CLAN",43,98.8,lose
"2023-07-20 20:28:52",15,#JPRPRVUY,"Akademia CoC PL",42,94.87,#2YG802GPU,"barbaros team⚔",13,32.07,win
